book	chapter	verse_order	sentence_order	sentence
Mal 	3 	7 	1 	Even from the days of your fathers ye are gone away from mine ordinances, and have not kept them.
Mal 	3 	7 	2 	Return unto me, and I will return unto you, saith the LORD of hosts.
Mal 	3 	7 	3 	But ye said, Wherein shall we return?
Mal 	3 	8 	1 	Will a man rob God?
Mal 	3 	8 	2 	Yet ye have robbed me.
Mal 	3 	8 	3 	But ye say, Wherein have we robbed thee?
Mal 	3 	8 	4 	In tithes and offerings.
Mal 	3 	9 	1 	Ye are cursed with a curse: for ye have robbed me, even this whole nation.
Mal 	3 	10 	1 	Bring ye all the tithes into the storehouse, that there may be meat in mine house, and prove me now herewith, saith the LORD of hosts, if I will not open you the windows of heaven, and pour you out a blessing, that there shall not be room enough to receive it.
Mal 	3 	11 	1 	And I will rebuke the devourer for your sakes, and he shall not destroy the fruits of your ground; neither shall your vine cast her fruit before the time in the field, saith the LORD of hosts.
Mal 	3 	12 	1 	And all nations shall call you blessed: for ye shall be a delightsome land, saith the LORD of hosts.
Mal 	3 	13 	1 	Your words have been stout against me, saith the LORD.
Mal 	3 	13 	2 	Yet ye say, What have we spoken so much against thee?
Mal 	3 	14 	1 	Ye have said, It is vain to serve God: and what profit is it that we have kept his ordinance, and that we have walked mournfully before the LORD of hosts?
Mal 	3 	15 	1 	And now we call the proud happy; yea, they that work wickedness are set up; yea, they that tempt God are even delivered.
Mal 	3 	16 	1 	Then they that feared the LORD spake often one to another: and the LORD hearkened, and heard it, and a book of remembrance was written before him for them that feared the LORD, and that thought upon his name.
Mal 	3 	17 	1 	And they shall be mine, saith the LORD of hosts, in that day when I make up my jewels; and I will spare them, as a man spareth his own son that serveth him.
Mal 	3 	18 	1 	Then shall ye return, and discern between the righteous and the wicked, between him that serveth God and him that serveth him not.
Mal 	4 	1 	1 	For, behold, the day cometh, that shall burn as an oven; and all the proud, yea, and all that do wickedly, shall be stubble: and the day that cometh shall burn them up, saith the LORD of hosts, that it shall leave them neither root nor branch.
Mal 	4 	2 	1 	But unto you that fear my name shall the Sun of righteousness arise with healing in his wings; and ye shall go forth, and grow up as calves of the stall.
Mal 	4 	3 	1 	And ye shall tread down the wicked; for they shall be ashes under the soles of your feet in the day that I shall do this, saith the LORD of hosts.
Mal 	4 	4 	1 	Remember ye the law of Moses my servant, which I commanded unto him in Horeb for all Israel, with the statutes and judgments.
Mal 	4 	5 	1 	Behold, I will send you Elijah the prophet before the coming of the great and dreadful day of the LORD:
Mal 	4 	6 	1 	And he shall turn the heart of the fathers to the children, and the heart of the children to their fathers, lest I come and smite the earth with a curse.
